aliases,canonical
AMERICANA,FATEC AMERICANA - MINISTRO RALPH BIASI
ARAÇATUBA,FATEC ARAÇATUBA - PROF. FERNANDO AMARAL DE ALMEIDA PRADO
ASSIS,FATEC OURINHOS - NÚCLEO ASSIS
BAIXADA SANTISTA,FATEC BAIXADA SANTISTA - RUBENS LARA
BAURU,FATEC BAURU
BOTUCATU,FATEC BOTUCATU
BRAGANÇA PAULISTA,FATEC BRAGANÇA PAULISTA - JORNALISTA OMAIR FAGUNDES DE OLIVEIRA
CAPÃO BONITO,FATEC CAPÃO BONITO
CARAPICUÍBA,FATEC CARAPICUÍBA
CATANDUVA,FATEC CATANDUVA
CRUZEIRO,FATEC CRUZEIRO - PROF. WALDOMIRO MAY
FATEC ADAMANTINA,FATEC ADAMANTINA
FATEC AMERICANA,FATEC AMERICANA - MINISTRO RALPH BIASI
FATEC AMERICANA - MINISTRO RALPH BIASI,FATEC AMERICANA - MINISTRO RALPH BIASI
FATEC ARAÇATUBA,FATEC ARAÇATUBA - PROF. FERNANDO AMARAL DE ALMEIDA PRADO
FATEC ARAÇATUBA - PROF. FERNANDO AMARAL DE ALMEIDA PRADO,FATEC ARAÇATUBA - PROF. FERNANDO AMARAL DE ALMEIDA PRADO
FATEC ARARAQUARA,FATEC ARARAQUARA - PROF. JOSÉ ARANA VARELA
FATEC ARARAQUARA - PROF. JOSÉ ARANA VARELA,FATEC ARARAQUARA - PROF. JOSÉ ARANA VARELA
FATEC ARARAS,FATEC ARARAS - ANTONIO BRAMBILLA
FATEC ARARAS - ANTONIO BRAMBILLA,FATEC ARARAS - ANTONIO BRAMBILLA
FATEC ASSIS,FATEC ASSIS - PROF. DR. JOSÉ LUIZ GUIMARÃES
FATEC ASSIS - PROF. DR. JOSÉ LUIZ GUIMARÃES,FATEC ASSIS - PROF. DR. JOSÉ LUIZ GUIMARÃES
FATEC ATIBAIA,FATEC ATIBAIA
FATEC BAIXADA SANTISTA,FATEC BAIXADA SANTISTA - RUBENS LARA
FATEC BAIXADA SANTISTA - RUBENS LARA,FATEC BAIXADA SANTISTA - RUBENS LARA
FATEC BAIXADA SANTISTA - RUBENS LARA - SANTOS,FATEC BAIXADA SANTISTA - RUBENS LARA
FATEC BARRETOS,FATEC BARRETOS - PROFª. ÉDI SALVI LIMA
FATEC BARRETOS - PROFª. ÉDI SALVI LIMA,FATEC BARRETOS - PROFª. ÉDI SALVI LIMA
FATEC BARRETOS - PROFA. ÉDI SALVI LIMA,FATEC BARRETOS - PROFª. ÉDI SALVI LIMA
FATEC BARUERI,FATEC BARUERI - PADRE DANILO JOSÉ DE OLIVEIRA OHL
FATEC BARUERI - PADRE DANILO JOSÉ DE OLIVEIRA OHL,FATEC BARUERI - PADRE DANILO JOSÉ DE OLIVEIRA OHL
FATEC BAURU,FATEC BAURU
FATEC BEBEDOURO,FATEC BEBEDOURO - JORGE CARAM SABBAG
FATEC BEBEDOURO - JORGE CARAM SABBAG,FATEC BEBEDOURO - JORGE CARAM SABBAG
FATEC BOTUCATU,FATEC BOTUCATU
FATEC BRAGANÇA PAULISTA,FATEC BRAGANÇA PAULISTA - JORNALISTA OMAIR FAGUNDES DE OLIVEIRA
FATEC BRAGANÇA PAULISTA - JORNALISTA OMAIR FAGUNDES DE OLIVEIRA,FATEC BRAGANÇA PAULISTA - JORNALISTA OMAIR FAGUNDES DE OLIVEIRA
FATEC CAMPINAS,FATEC CAMPINAS
FATEC CAPÃO BONITO,FATEC CAPÃO BONITO
FATEC CARAPICUÍBA,FATEC CARAPICUÍBA
FATEC CATANDUVA,FATEC CATANDUVA
FATEC COTIA,FATEC COTIA
FATEC CRUZEIRO,FATEC CRUZEIRO - PROF. WALDOMIRO MAY
FATEC CRUZEIRO - PROF. WALDOMIRO MAY,FATEC CRUZEIRO - PROF. WALDOMIRO MAY
FATEC DE ESPORTES,FATEC DE ESPORTES
FATEC DIADEMA - LUIGI PAPAIZ,FATEC DIADEMA - LUIGI PAPAIZ
FATEC DOM AMAURY CASTANHO,FATEC DOM AMAURY CASTANHO
FATEC DR. THOMAZ NOVELINO,FATEC DR. THOMAZ NOVELINO
FATEC ESPORTES,FATEC ESPORTES
FATEC ESTUDANTE RAFAEL ALMEIDA CAMARINHA,FATEC ESTUDANTE RAFAEL ALMEIDA CAMARINHA
FATEC FERRAZ DE VASCONCELOS,FATEC FERRAZ DE VASCONCELOS
FATEC FRANCA,FATEC FRANCA - DR. THOMAZ NOVELINO
FATEC FRANCA - DR. THOMAZ NOVELINO,FATEC FRANCA - DR. THOMAZ NOVELINO
FATEC FRANCO DA ROCHA,FATEC FRANCO DA ROCHA - GIULIANO CECCHETTINI
FATEC FRANCO DA ROCHA - GIULIANO CECCHETTINI,FATEC FRANCO DA ROCHA - GIULIANO CECCHETTINI
FATEC GARÇA,FATEC GARÇA - DEP. JULIO JULINHO MARCONDES DE MOURA
FATEC GARÇA - DEP. JULIO JULINHO MARCONDES DE MOURA,FATEC GARÇA - DEP. JULIO JULINHO MARCONDES DE MOURA
FATEC GARÇA - DEPUTADO JULIO JULINHO MARCONDES DE MOURA,FATEC GARÇA - DEP. JULIO JULINHO MARCONDES DE MOURA
FATEC GARÇA - DEPUTADO JÚLIO JULINHO MARCONDES DE MOURA,FATEC GARÇA - DEP. JULIO JULINHO MARCONDES DE MOURA
FATEC GUARATINGUETÁ,FATEC GUARATINGUETÁ - PROF. JOÃO MOD
FATEC GUARATINGUETÁ - PROF. JOÃO MOD,FATEC GUARATINGUETÁ - PROF. JOÃO MOD
FATEC GUARULHOS,FATEC GUARULHOS
FATEC ILHA SOLTEIRA,FATEC ILHA SOLTEIRA
FATEC INDAIATUBA,FATEC INDAIATUBA - DR. ARCHIMEDES LAMMOGLIA
FATEC INDAIATUBA - DR. ARCHIMEDES LAMMOGLIA,FATEC INDAIATUBA - DR. ARCHIMEDES LAMMOGLIA
FATEC IPIRANGA,FATEC IPIRANGA - PASTOR ENÉAS TOGNINI
FATEC IPIRANGA - PASTOR ENÉAS TOGNINI,FATEC IPIRANGA - PASTOR ENÉAS TOGNINI
FATEC ITAPETININGA,FATEC ITAPETININGA - PROF. ANTONIO BELIZANDRO BARBOSA REZENDE
FATEC ITAPETININGA - PROF. ANTONIO BELIZANDRO BARBOSA REZENDE,FATEC ITAPETININGA - PROF. ANTONIO BELIZANDRO BARBOSA REZENDE
FATEC ITAPEVI,FATEC ITAPEVI
FATEC ITAPIRA,FATEC ITAPIRA - OGARI DE CASTRO PACHECO
